id,country,city,desc
32,Argentina,Abasto,Bustling city center with rich heritage and scenic views.
33,Argentina,Acassuso,"Vibrant urban hub, ancient history, and local markets."
34,Armenia,Yerevan,"Vibrant capital city of Armenia, rich in history and culture."
35,Armenia,Abovyan,"Cultural heart, iconic architecture, and local flavors."
36,Armenia,Agarak,Bustling city center with rich heritage and scenic views.
37,Armenia,Apaga,"Vibrant urban hub, ancient history, and local markets."
38,Aruba,Oranjestad,"Vibrant capital city of Aruba, rich in history and culture."
39,Aruba,Noord,"Cultural heart, iconic architecture, and local flavors."
40,Aruba,Palm Beach,Bustling city center with rich heritage and scenic views.
41,Aruba,Paradera,"Vibrant urban hub, ancient history, and local markets."
42,Australia,Canberra,"Vibrant capital city of Australia, rich in history and culture."
43,Australia,Abbotsford,"Cultural heart, iconic architecture, and local flavors."
44,Australia,Abbotsham,Bustling city center with rich heritage and scenic views.
45,Australia,Aberdeen,"Vibrant urban hub, ancient history, and local markets."
46,Austria,Vienna,"Vibrant capital city of Austria, rich in history and culture."
47,Austria,Absam,"Cultural heart, iconic architecture, and local flavors."
48,Austria,Absdorf,Bustling city center with rich heritage and scenic views.
49,Austria,Abtenau,"Vibrant urban hub, ancient history, and local markets."
50,Azerbaijan,Baku,"Vibrant capital city of Azerbaijan, rich in history and culture."
51,Azerbaijan,Nakhchivan,"Cultural heart, iconic architecture, and local flavors."
52,Azerbaijan,Quba,Bustling city center with rich heritage and scenic views.
53,Azerbaijan,Qusar,"Vibrant urban hub, ancient history, and local markets."
54,Bahamas,Nassau,"Vibrant capital city of Bahamas, rich in history and culture."
55,Bahamas,Andros Town,"Cultural heart, iconic architecture, and local flavors."
56,Bahamas,Dunmore Town,Bustling city center with rich heritage and scenic views.
57,Bahamas,Freeport,"Vibrant urban hub, ancient history, and local markets."
58,Bahrain,Manama,"Vibrant capital city of Bahrain, rich in history and culture."
59,Bahrain,Al Budayyi`,"Cultural heart, iconic architecture, and local flavors."
60,Bahrain,Al Hadd,Bustling city center with rich heritage and scenic views.
61,Bahrain,Al Hamalah,"Vibrant urban hub, ancient history, and local markets."
62,Bangladesh,Dhaka,"Vibrant capital city of Bangladesh, rich in history and culture."
63,Bangladesh,Bagerhat,"Cultural heart, iconic architecture, and local flavors."
64,Bangladesh,Bandarban,Bustling city center with rich heritage and scenic views.
65,Bangladesh,Barguna,"Vibrant urban hub, ancient history, and local markets."
66,Barbados,Bridgetown,"Vibrant capital city of Barbados, rich in history and culture."
67,Barbados,Atlantic Shores,"Cultural heart, iconic architecture, and local flavors."
68,Barbados,Bagatelle,Bustling city center with rich heritage and scenic views.
69,Barbados,Bloomsbury,"Vibrant urban hub, ancient history, and local markets."
70,Belarus,Minsk,"Vibrant capital city of Belarus, rich in history and culture."
71,Belarus,Baranovichi,"Cultural heart, iconic architecture, and local flavors."
72,Belarus,Borisov,Bustling city center with rich heritage and scenic views.
73,Belarus,Brest,"Vibrant urban hub, ancient history, and local markets."
74,Belgium,Brussels,"Vibrant capital city of Belgium, rich in history and culture."
75,Belgium,Aalbeke,"Cultural heart, iconic architecture, and local flavors."
76,Belgium,Aalst,Bustling city center with rich heritage and scenic views.
77,Belgium,Aalter,"Vibrant urban hub, ancient history, and local markets."
78,Belize,Belmopan,"Vibrant capital city of Belize, rich in history and culture."
79,Belize,Belize City,"Cultural heart, iconic architecture, and local flavors."
80,Belize,Benque Viejo del Carmen,Bustling city center with rich heritage and scenic views.
81,Belize,Freetown Sibun,"Vibrant urban hub, ancient history, and local markets."
82,Benin,Porto-Novo,"Vibrant capital city of Benin, rich in history and culture."
83,Benin,Alibori,"Cultural heart, iconic architecture, and local flavors."
84,Benin,Atakora,Bustling city center with rich heritage and scenic views.
85,Benin,Atlantique,"Vibrant urban hub, ancient history, and local markets."
86,Bermuda,Hamilton,"Vibrant capital city of Bermuda, rich in history and culture."
87,Bermuda,Devonshire,"Cultural heart, iconic architecture, and local flavors."
88,Bermuda,Paget,Bustling city center with rich heritage and scenic views.
89,Bermuda,Pembroke,"Vibrant urban hub, ancient history, and local markets."
90,Bhutan,Thimphu,"Vibrant capital city of Bhutan, rich in history and culture."
91,Bhutan,Bumthang,"Cultural heart, iconic architecture, and local flavors."
92,Bhutan,Chukha,Bustling city center with rich heritage and scenic views.
93,Bhutan,Dagana,"Vibrant urban hub, ancient history, and local markets."
94,Bolivia,Sucre,"Vibrant capital city of Bolivia, rich in history and culture."
95,Bolivia,Anillo,"Cultural heart, iconic architecture, and local flavors."
96,Bolivia,Aroma,Bustling city center with rich heritage and scenic views.
97,Bolivia,Bermejo,"Vibrant urban hub, ancient history, and local markets."
98,Bosnia and Herzegovina,Sarajevo,"Vibrant capital city of Bosnia and Herzegovina, rich in history and culture."
99,Bosnia and Herzegovina,Banja,"Cultural heart, iconic architecture, and local flavors."
100,Bosnia and Herzegovina,Banja Luka,Bustling city center with rich heritage and scenic views.
101,Bosnia and Herzegovina,Bijeljina,"Vibrant urban hub, ancient history, and local markets."
102,Botswana,Gaborone,"Vibrant capital city of Botswana, rich in history and culture."
103,Botswana,Francistown,"Cultural heart, iconic architecture, and local flavors."
104,Botswana,Orapa,Bustling city center with rich heritage and scenic views.
105,Botswana,Serowe,"Vibrant urban hub, ancient history, and local markets."
106,Brazil,Brasília,"Vibrant capital city of Brazil, rich in history and culture."
107,Brazil,Abadiania,"Cultural heart, iconic architecture, and local flavors."
108,Brazil,Abaetetuba,Bustling city center with rich heritage and scenic views.
109,Brazil,Abelardo Luz,"Vibrant urban hub, ancient history, and local markets."
110,British Indian Ocean Territory,Diego Garcia,"Vibrant capital city of British Indian Ocean Territory, rich in history and culture."
111,British Indian Ocean Territory,Carcasse,"Cultural heart, iconic architecture, and local flavors."
112,British Indian Ocean Territory,Downtown,Bustling city center with rich heritage and scenic views.
113,British Indian Ocean Territory,East Point Settlement,"Vibrant urban hub, ancient history, and local markets."
114,British Virgin Islands,Road Town,"Vibrant capital city of British Virgin Islands, rich in history and culture."
115,Brunei,Bandar Seri Begawan,"Vibrant capital city of Brunei, rich in history and culture."
116,Brunei,Bangar,"Cultural heart, iconic architecture, and local flavors."
117,Brunei,Kampong Jerudong,Bustling city center with rich heritage and scenic views.
118,Brunei,Kuala Belait,"Vibrant urban hub, ancient history, and local markets."
119,Bulgaria,Sofia,"Vibrant capital city of Bulgaria, rich in history and culture."
120,Bulgaria,Akhtopol,"Cultural heart, iconic architecture, and local flavors."
121,Bulgaria,Aksakovo,Bustling city center with rich heritage and scenic views.
122,Bulgaria,Aleksandriya,"Vibrant urban hub, ancient history, and local markets."
123,Burkina Faso,Ouagadougou,"Vibrant capital city of Burkina Faso, rich in history and culture."
124,Burkina Faso,Bale,"Cultural heart, iconic architecture, and local flavors."
125,Burkina Faso,Bam,Bustling city center with rich heritage and scenic views.
126,Burkina Faso,Banwa,"Vibrant urban hub, ancient history, and local markets."
127,Burundi,Gitega,"Vibrant capital city of Burundi, rich in history and culture."
128,Burundi,Bubanza,"Cultural heart, iconic architecture, and local flavors."
129,Burundi,Bujumbura Mairie,Bustling city center with rich heritage and scenic views.
130,Burundi,Bujumbura Rural,"Vibrant urban hub, ancient history, and local markets."
131,Cambodia,Phnom Penh,"Vibrant capital city of Cambodia, rich in history and culture."
132,Cambodia,Moung Roessei,"Cultural heart, iconic architecture, and local flavors."
133,Cambodia,Phumi Boeng (1),Bustling city center with rich heritage and scenic views.
134,Cambodia,Phumi Chhuk,"Vibrant urban hub, ancient history, and local markets."
135,Cameroon,Yaoundé,"Vibrant capital city of Cameroon, rich in history and culture."
136,Cameroon,Bafia,"Cultural heart, iconic architecture, and local flavors."
137,Cameroon,Bafoussam,Bustling city center with rich heritage and scenic views.
138,Cameroon,Bamenda,"Vibrant urban hub, ancient history, and local markets."
139,Canada,Ottawa,"Vibrant capital city of Canada, rich in history and culture."
140,Canada,100 Mile House,"Cultural heart, iconic architecture, and local flavors."
141,Canada,Abbey,Bustling city center with rich heritage and scenic views.
142,Canada,Abbotsford,"Vibrant urban hub, ancient history, and local markets."
143,Cape Verde,Praia,"Vibrant capital city of Cape Verde, rich in history and culture."
144,Cape Verde,Mindelo,"Cultural heart, iconic architecture, and local flavors."
145,Cape Verde,Cidade Velha,Bustling city center with rich heritage and scenic views.
146,Cape Verde,Espargos,"Vibrant urban hub, ancient history, and local markets."
147,Caribbean Netherlands,Kralendijk,"Vibrant capital city of Caribbean Netherlands, rich in history and culture."
148,Cayman Islands,George Town,"Vibrant capital city of Cayman Islands, rich in history and culture."
149,Cayman Islands,Bodden Town,"Cultural heart, iconic architecture, and local flavors."
150,Cayman Islands,Coral Gables,Bustling city center with rich heritage and scenic views.
151,Cayman Islands,Newlands,"Vibrant urban hub, ancient history, and local markets."
152,Central African Republic,Bangui,"Vibrant capital city of Central African Republic, rich in history and culture."
153,Central African Republic,Bamingui-Bangoran,"Cultural heart, iconic architecture, and local flavors."
154,Central African Republic,Basse-Kotto,Bustling city center with rich heritage and scenic views.
155,Central African Republic,Haute-Kotto,"Vibrant urban hub, ancient history, and local markets."
156,Chad,N'Djamena,"Vibrant capital city of Chad, rich in history and culture."
157,Chad,Batha,"Cultural heart, iconic architecture, and local flavors."
158,Chad,Biltine,Bustling city center with rich heritage and scenic views.
159,Chad,Borkou-Ennedi-Tibesti,"Vibrant urban hub, ancient history, and local markets."
160,Chile,Santiago,"Vibrant capital city of Chile, rich in history and culture."
161,Chile,Algarrobo,"Cultural heart, iconic architecture, and local flavors."
162,Chile,Alto Hospicio,Bustling city center with rich heritage and scenic views.
163,Chile,Angol,"Vibrant urban hub, ancient history, and local markets."
164,China,Beijing,"Vibrant capital city of China, rich in history and culture."
165,China,Aishang,"Cultural heart, iconic architecture, and local flavors."
166,China,Aizhou,Bustling city center with rich heritage and scenic views.
167,China,Aksu,"Vibrant urban hub, ancient history, and local markets."
168,Christmas Island,Flying Fish Cove,"Vibrant capital city of Christmas Island, rich in history and culture."
169,Christmas Island,Drumsite (settlement),"Cultural heart, iconic architecture, and local flavors."
170,Christmas Island,Flying Fish Cove (settlement),Bustling city center with rich heritage and scenic views.
171,Christmas Island,Poon Saan (settlement),"Vibrant urban hub, ancient history, and local markets."
172,Cocos (Keeling) Islands,West Island,"Vibrant capital city of Cocos (Keeling) Islands, rich in history and culture."
173,Cocos (Keeling) Islands,Bantam (settlement),"Cultural heart, iconic architecture, and local flavors."
174,Cocos (Keeling) Islands,West Island (island),Bustling city center with rich heritage and scenic views.
175,Colombia,Bogotá,"Vibrant capital city of Colombia, rich in history and culture."
176,Colombia,Acacias,"Cultural heart, iconic architecture, and local flavors."
177,Colombia,Acevedo,Bustling city center with rich heritage and scenic views.
178,Colombia,Aguachica,"Vibrant urban hub, ancient history, and local markets."
179,Comoros,Moroni,"Vibrant capital city of Comoros, rich in history and culture."
180,Comoros,Grande Comore (Njazidja),"Cultural heart, iconic architecture, and local flavors."
181,Comoros,Anjouan (Nzwani),Bustling city center with rich heritage and scenic views.
182,Comoros,Moheli (Mwali),"Vibrant urban hub, ancient history, and local markets."
183,Congo,Brazzaville,"Vibrant capital city of Congo, rich in history and culture."
184,Congo,Banana,"Cultural heart, iconic architecture, and local flavors."
185,Congo,Goma,Bustling city center with rich heritage and scenic views.
186,Congo,Kinshasa,"Vibrant urban hub, ancient history, and local markets."
187,Cook Islands,Avarua,"Vibrant capital city of Cook Islands, rich in history and culture."
188,Cook Islands,Amuri,"Cultural heart, iconic architecture, and local flavors."
189,Cook Islands,Arutanga,Bustling city center with rich heritage and scenic views.
190,Cook Islands,Avatiu,"Vibrant urban hub, ancient history, and local markets."
191,Costa Rica,San José,"Vibrant capital city of Costa Rica, rich in history and culture."
192,Costa Rica,Alajuela,"Cultural heart, iconic architecture, and local flavors."
193,Costa Rica,Alajuelita,Bustling city center with rich heritage and scenic views.
194,Costa Rica,Alfaro,"Vibrant urban hub, ancient history, and local markets."
195,Croatia,Zagreb,"Vibrant capital city of Croatia, rich in history and culture."
196,Croatia,Antunovac,"Cultural heart, iconic architecture, and local flavors."
197,Croatia,Baska,Bustling city center with rich heritage and scenic views.
198,Croatia,Baska Voda,"Vibrant urban hub, ancient history, and local markets."
199,Cuba,Havana,"Vibrant capital city of Cuba, rich in history and culture."
200,Cuba,Bayamo,"Cultural heart, iconic architecture, and local flavors."
201,Cuba,Cienfuegos,Bustling city center with rich heritage and scenic views.
202,Cuba,Habana,"Vibrant urban hub, ancient history, and local markets."
203,Curaçao,Willemstad,"Vibrant capital city of Curaçao, rich in history and culture."
204,Cyprus,Nicosia,"Vibrant capital city of Cyprus, rich in history and culture."
205,Cyprus,Agia Anna,"Cultural heart, iconic architecture, and local flavors."
206,Cyprus,Aradippou,Bustling city center with rich heritage and scenic views.
207,Cyprus,Ayia Marina,"Vibrant urban hub, ancient history, and local markets."
208,Czechia,Prague,"Vibrant capital city of Czechia, rich in history and culture."
209,DR Congo,Kinshasa,"Vibrant capital city of DR Congo, rich in history and culture."
210,Denmark,Copenhagen,"Vibrant capital city of Denmark, rich in history and culture."
211,Denmark,Aabenraa,"Cultural heart, iconic architecture, and local flavors."
212,Denmark,Aabybro,Bustling city center with rich heritage and scenic views.
213,Denmark,Aalborg,"Vibrant urban hub, ancient history, and local markets."
214,Djibouti,Djibouti,"Vibrant capital city of Djibouti, rich in history and culture."
215,Djibouti,Ali Sabih,"Cultural heart, iconic architecture, and local flavors."
216,Djibouti,Dikhil,Bustling city center with rich heritage and scenic views.
217,Djibouti,Obock,"Vibrant urban hub, ancient history, and local markets."
218,Dominica,Roseau,"Vibrant capital city of Dominica, rich in history and culture."
219,Dominica,Saint Andrew,"Cultural heart, iconic architecture, and local flavors."
220,Dominica,Saint David,Bustling city center with rich heritage and scenic views.
221,Dominica,Saint George,"Vibrant urban hub, ancient history, and local markets."
222,Dominican Republic,Santo Domingo,"Vibrant capital city of Dominican Republic, rich in history and culture."
223,Dominican Republic,Arenazo,"Cultural heart, iconic architecture, and local flavors."
224,Dominican Republic,Bavaro,Bustling city center with rich heritage and scenic views.
225,Dominican Republic,Boca Chica,"Vibrant urban hub, ancient history, and local markets."
226,Ecuador,Quito,"Vibrant capital city of Ecuador, rich in history and culture."
227,Ecuador,Ambato,"Cultural heart, iconic architecture, and local flavors."
228,Ecuador,Atacames,Bustling city center with rich heritage and scenic views.
229,Ecuador,Atuntaqui,"Vibrant urban hub, ancient history, and local markets."
230,Egypt,Cairo,"Vibrant capital city of Egypt, rich in history and culture."
231,Egypt,Alexandria,"Cultural heart, iconic architecture, and local flavors."
232,Egypt,Luxor,Bustling city center with rich heritage and scenic views.
233,El Salvador,San Salvador,"Vibrant capital city of El Salvador, rich in history and culture."
234,El Salvador,Ahuachapan,"Cultural heart, iconic architecture, and local flavors."
235,El Salvador,Antiguo Cuscatlan,Bustling city center with rich heritage and scenic views.
236,El Salvador,Apaneca,"Vibrant urban hub, ancient history, and local markets."
237,Equatorial Guinea,Malabo,"Vibrant capital city of Equatorial Guinea, rich in history and culture."
238,Equatorial Guinea,Annobon,"Cultural heart, iconic architecture, and local flavors."
239,Equatorial Guinea,Bioko Norte,Bustling city center with rich heritage and scenic views.
240,Equatorial Guinea,Bioko Sur,"Vibrant urban hub, ancient history, and local markets."
241,Eritrea,Asmara,"Vibrant capital city of Eritrea, rich in history and culture."
242,Eritrea,Anseba,"Cultural heart, iconic architecture, and local flavors."
243,Eritrea,Debub,Bustling city center with rich heritage and scenic views.
244,Eritrea,Debubawi K'eyih Bahri,"Vibrant urban hub, ancient history, and local markets."
245,Estonia,Tallinn,"Vibrant capital city of Estonia, rich in history and culture."
246,Estonia,Aasmae,"Cultural heart, iconic architecture, and local flavors."
247,Estonia,Aaviku,Bustling city center with rich heritage and scenic views.
248,Estonia,Aespa,"Vibrant urban hub, ancient history, and local markets."
249,Eswatini,Lobamba,"Vibrant capital city of Eswatini, rich in history and culture."
250,Ethiopia,Addis Ababa,"Vibrant capital city of Ethiopia, rich in history and culture."
251,Ethiopia,Afar,"Cultural heart, iconic architecture, and local flavors."
252,Ethiopia,Amhara,Bustling city center with rich heritage and scenic views.
253,Ethiopia,Binshangul Gumuz,"Vibrant urban hub, ancient history, and local markets."
254,Falkland Islands,Stanley,"Vibrant capital city of Falkland Islands, rich in history and culture."
255,Falkland Islands,Ajax Bay,"Cultural heart, iconic architecture, and local flavors."
256,Falkland Islands,Beaver Settlement,Bustling city center with rich heritage and scenic views.
257,Falkland Islands,Bluff Cove Settlement,"Vibrant urban hub, ancient history, and local markets."
258,Faroe Islands,Tórshavn,"Vibrant capital city of Faroe Islands, rich in history and culture."
259,Faroe Islands,Argir,"Cultural heart, iconic architecture, and local flavors."
260,Faroe Islands,Glyvrar,Bustling city center with rich heritage and scenic views.
261,Faroe Islands,Hvalba,"Vibrant urban hub, ancient history, and local markets."
262,Fiji,Suva,"Vibrant capital city of Fiji, rich in history and culture."
263,Fiji,Central (Suva),"Cultural heart, iconic architecture, and local flavors."
264,Fiji,Eastern (Levuka),Bustling city center with rich heritage and scenic views.
265,Fiji,Northern (Labasa),"Vibrant urban hub, ancient history, and local markets."
266,Finland,Helsinki,"Vibrant capital city of Finland, rich in history and culture."
267,Finland,Aapajoki,"Cultural heart, iconic architecture, and local flavors."
268,Finland,Aavasaksa,Bustling city center with rich heritage and scenic views.
269,Finland,Aitoo,"Vibrant urban hub, ancient history, and local markets."
270,France,Paris,"Vibrant capital city of France, rich in history and culture."
271,France,Nice,"Cultural heart, iconic architecture, and local flavors."
272,France,Lyon,Bustling city center with rich heritage and scenic views.
273,France,Marseille,"Vibrant urban hub, ancient history, and local markets."
274,France,Bordeaux,"Capital city filled with history, art, and charm."
275,French Guiana,Cayenne,"Vibrant capital city of French Guiana, rich in history and culture."
276,French Polynesia,Papeetē,"Vibrant capital city of French Polynesia, rich in history and culture."
277,French Polynesia,Arue,"Cultural heart, iconic architecture, and local flavors."
278,French Polynesia,Faaa,Bustling city center with rich heritage and scenic views.
279,French Polynesia,Mahina,"Vibrant urban hub, ancient history, and local markets."
280,French Southern and Antarctic Lands,Port-aux-Français,"Vibrant capital city of French Southern and Antarctic Lands, rich in history and culture."
281,Gabon,Libreville,"Vibrant capital city of Gabon, rich in history and culture."
282,Gabon,Gamba,"Cultural heart, iconic architecture, and local flavors."
283,Gabon,Mamagnia,Bustling city center with rich heritage and scenic views.
284,Gabon,Moanda,"Vibrant urban hub, ancient history, and local markets."
285,Gambia,Banjul,"Vibrant capital city of Gambia, rich in history and culture."
286,Gambia,Central River,"Cultural heart, iconic architecture, and local flavors."
287,Gambia,Lower River,Bustling city center with rich heritage and scenic views.
288,Gambia,North Bank,"Vibrant urban hub, ancient history, and local markets."
289,Georgia,Tbilisi,"Vibrant capital city of Georgia, rich in history and culture."
290,Georgia,Gogolesubani,"Cultural heart, iconic architecture, and local flavors."
291,Georgia,Kutaisi,Bustling city center with rich heritage and scenic views.
292,Georgia,Lentekhi,"Vibrant urban hub, ancient history, and local markets."
293,Germany,Berlin,"Vibrant capital city of Germany, rich in history and culture."
294,Germany,Munich,"Cultural heart, iconic architecture, and local flavors."
295,Germany,Hamburg,Bustling city center with rich heritage and scenic views.
296,Germany,Frankfurt,"Vibrant urban hub, ancient history, and local markets."
297,Germany,Cologne,"Capital city filled with history, art, and charm."
298,Ghana,Accra,"Vibrant capital city of Ghana, rich in history and culture."
299,Ghana,Bawku,"Cultural heart, iconic architecture, and local flavors."
300,Ghana,Berekum,Bustling city center with rich heritage and scenic views.
301,Ghana,Bolgatanga,"Vibrant urban hub, ancient history, and local markets."
302,Gibraltar,Gibraltar,"Vibrant capital city of Gibraltar, rich in history and culture."
303,Gibraltar,Alameda de los Monos,"Cultural heart, iconic architecture, and local flavors."
304,Gibraltar,Bruce's Farm,Bustling city center with rich heritage and scenic views.
305,Gibraltar,Buena Vista,"Vibrant urban hub, ancient history, and local markets."
306,Greece,Athens,"Vibrant capital city of Greece, rich in history and culture."
307,Greece,Santorini,"Cultural heart, iconic architecture, and local flavors."
308,Greece,Mykonos,Bustling city center with rich heritage and scenic views.
309,Greece,Thessaloniki,"Vibrant urban hub, ancient history, and local markets."
310,Greenland,Nuuk,"Vibrant capital city of Greenland, rich in history and culture."
311,Greenland,Aasiaat,"Cultural heart, iconic architecture, and local flavors."
312,Greenland,Ilulissat,Bustling city center with rich heritage and scenic views.
313,Greenland,Kapisillit,"Vibrant urban hub, ancient history, and local markets."
314,Grenada,St. George's,"Vibrant capital city of Grenada, rich in history and culture."
315,Grenada,Carriacou and Petit Martinique,"Cultural heart, iconic architecture, and local flavors."
316,Grenada,Saint Andrew,Bustling city center with rich heritage and scenic views.
317,Grenada,Saint David,"Vibrant urban hub, ancient history, and local markets."
318,Guadeloupe,Basse-Terre,"Vibrant capital city of Guadeloupe, rich in history and culture."
319,Guadeloupe,Anse-Bertrand,"Cultural heart, iconic architecture, and local flavors."
320,Guadeloupe,Baie Mahault,Bustling city center with rich heritage and scenic views.
321,Guadeloupe,Baie-Mahault,"Vibrant urban hub, ancient history, and local markets."
322,Guam,Hagåtña,"Vibrant capital city of Guam, rich in history and culture."
323,Guam,Barrigada Village,"Cultural heart, iconic architecture, and local flavors."
324,Guam,Dededo Village,Bustling city center with rich heritage and scenic views.
325,Guam,Inarajan Village,"Vibrant urban hub, ancient history, and local markets."
326,Guatemala,Guatemala City,"Vibrant capital city of Guatemala, rich in history and culture."
327,Guatemala,Antigua Guatemala,"Cultural heart, iconic architecture, and local flavors."
328,Guatemala,Cambote,Bustling city center with rich heritage and scenic views.
329,Guatemala,Catarina,"Vibrant urban hub, ancient history, and local markets."
330,Guernsey,St. Peter Port,"Vibrant capital city of Guernsey, rich in history and culture."
331,Guernsey,Saint Peter Port,"Cultural heart, iconic architecture, and local flavors."
332,Guernsey,St Martin,Bustling city center with rich heritage and scenic views.
333,Guernsey,St. Andrew`s,"Vibrant urban hub, ancient history, and local markets."
334,Guinea,Conakry,"Vibrant capital city of Guinea, rich in history and culture."
335,Guinea,Dabola,"Cultural heart, iconic architecture, and local flavors."
336,Guinea,Kalia,Bustling city center with rich heritage and scenic views.
337,Guinea,Kankan,"Vibrant urban hub, ancient history, and local markets."
338,Guinea-Bissau,Bissau,"Vibrant capital city of Guinea-Bissau, rich in history and culture."
339,Guinea-Bissau,Bafata,"Cultural heart, iconic architecture, and local flavors."
340,Guinea-Bissau,Biombo,Bustling city center with rich heritage and scenic views.
341,Guinea-Bissau,Bolama,"Vibrant urban hub, ancient history, and local markets."
342,Guyana,Georgetown,"Vibrant capital city of Guyana, rich in history and culture."
343,Guyana,Barima-Waini,"Cultural heart, iconic architecture, and local flavors."
344,Guyana,Cuyuni-Mazaruni,Bustling city center with rich heritage and scenic views.
345,Guyana,Demerara-Mahaica,"Vibrant urban hub, ancient history, and local markets."
346,Haiti,Port-au-Prince,"Vibrant capital city of Haiti, rich in history and culture."
347,Haiti,Carrefour,"Cultural heart, iconic architecture, and local flavors."
348,Haiti,Delmar,Bustling city center with rich heritage and scenic views.
349,Haiti,Duverger,"Vibrant urban hub, ancient history, and local markets."
350,Honduras,Tegucigalpa,"Vibrant capital city of Honduras, rich in history and culture."
351,Honduras,Honduras,"Cultural heart, iconic architecture, and local flavors."
352,Honduras,Choloma,Bustling city center with rich heritage and scenic views.
353,Honduras,Comayagua,"Vibrant urban hub, ancient history, and local markets."
354,Hong Kong,City of Victoria,"Vibrant capital city of Hong Kong, rich in history and culture."
355,Hong Kong,Aberdeen,"Cultural heart, iconic architecture, and local flavors."
356,Hong Kong,Causeway Bay,Bustling city center with rich heritage and scenic views.
357,Hong Kong,Central District,"Vibrant urban hub, ancient history, and local markets."
358,Hungary,Budapest,"Vibrant capital city of Hungary, rich in history and culture."
359,Hungary,Debrecen,"Cultural heart, iconic architecture, and local flavors."
360,Hungary,Szeged,Bustling city center with rich heritage and scenic views.
361,Iceland,Reykjavik,"Vibrant capital city of Iceland, rich in history and culture."
362,Iceland,Akranes,"Cultural heart, iconic architecture, and local flavors."
363,Iceland,Akureyri,Bustling city center with rich heritage and scenic views.
364,Iceland,Borgarnes,"Vibrant urban hub, ancient history, and local markets."
365,India,New Delhi,"Vibrant capital city of India, rich in history and culture."
366,India,Abdul,"Cultural heart, iconic architecture, and local flavors."
367,India,Adilabad,Bustling city center with rich heritage and scenic views.
368,India,Adwani,"Vibrant urban hub, ancient history, and local markets."
369,Indonesia,Jakarta,"Vibrant capital city of Indonesia, rich in history and culture."
370,Indonesia,Abadi,"Cultural heart, iconic architecture, and local flavors."
371,Indonesia,Adiantorop,Bustling city center with rich heritage and scenic views.
372,Indonesia,Airmadidi,"Vibrant urban hub, ancient history, and local markets."
373,Iran,Tehran,"Vibrant capital city of Iran, rich in history and culture."
374,Iran,`Aliabad,"Cultural heart, iconic architecture, and local flavors."
375,Iran,`Aliabad-e Aq Hesar,Bustling city center with rich heritage and scenic views.
376,Iran,`Oryan,"Vibrant urban hub, ancient history, and local markets."
377,Iraq,Baghdad,"Vibrant capital city of Iraq, rich in history and culture."
378,Iraq,Al `Amarah,"Cultural heart, iconic architecture, and local flavors."
379,Iraq,Al Hillah,Bustling city center with rich heritage and scenic views.
380,Iraq,Bahr,"Vibrant urban hub, ancient history, and local markets."
381,Ireland,Dublin,"Vibrant capital city of Ireland, rich in history and culture."
382,Ireland,Abbeyfeale,"Cultural heart, iconic architecture, and local flavors."
383,Ireland,Abbeyleix,Bustling city center with rich heritage and scenic views.
384,Ireland,Ardee,"Vibrant urban hub, ancient history, and local markets."
