id,country,continent,currency,currency_short,euro_conversion,e_sim
36,Cameroon,Africa,Central African CFA franc,XAF,"=IF(E37=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E37), 2))",
37,Canada,Americas,Canadian dollar,CAD,"=IF(E38=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E38), 2))",
38,Cape Verde,Africa,Cape Verdean escudo,CVE,"=IF(E39=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E39), 2))",
39,Caribbean Netherlands,Americas,United States dollar,USD,"=IF(E40=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E40), 2))",
40,Cayman Islands,Americas,Cayman Islands dollar,KYD,"=IF(E41=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E41), 2))",
41,Central African Republic,Africa,Central African CFA franc,XAF,"=IF(E42=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E42), 2))",
42,Chad,Africa,Central African CFA franc,XAF,"=IF(E43=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E43), 2))",
43,Chile,Americas,Chilean peso,CLP,"=IF(E44=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E44), 2))",
44,China,Asia,Chinese yuan,CNY,"=IF(E45=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E45), 2))",
45,Christmas Island,Oceania,Australian dollar,AUD,"=IF(E46=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E46), 2))",
46,Cocos (Keeling) Islands,Oceania,Australian dollar,AUD,"=IF(E47=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E47), 2))",
47,Colombia,Americas,Colombian peso,COP,"=IF(E48=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E48), 2))",
48,Comoros,Africa,Comorian franc,KMF,"=IF(E49=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E49), 2))",
49,Congo,Africa,Central African CFA franc,XAF,"=IF(E50=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E50), 2))",
50,Cook Islands,Oceania,Cook Islands dollar,CKD,"=IF(E51=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E51), 2))",
51,Costa Rica,Americas,Costa Rican colón,CRC,"=IF(E52=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E52), 2))",
52,Croatia,Europe,Euro,EUR,"=IF(E53=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E53), 2))",
53,Cuba,Americas,Cuban convertible peso,CUC,"=IF(E54=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E54), 2))",
54,Curaçao,Americas,Netherlands Antillean guilder,ANG,"=IF(E55=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E55), 2))",
55,Cyprus,Europe,Euro,EUR,"=IF(E56=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E56), 2))",
56,Czechia,Europe,Czech koruna,CZK,"=IF(E57=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E57), 2))",
57,DR Congo,Africa,Congolese franc,CDF,"=IF(E58=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E58), 2))",
58,Denmark,Europe,Danish krone,DKK,"=IF(E59=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E59), 2))",
59,Djibouti,Africa,Djiboutian franc,DJF,"=IF(E60=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E60), 2))",
60,Dominica,Americas,Eastern Caribbean dollar,XCD,"=IF(E61=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E61), 2))",
61,Dominican Republic,Americas,Dominican peso,DOP,"=IF(E62=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E62), 2))",
62,Ecuador,Americas,United States dollar,USD,"=IF(E63=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E63), 2))",
63,Egypt,Africa,Egyptian pound,EGP,"=IF(E64=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E64), 2))",
64,El Salvador,Americas,United States dollar,USD,"=IF(E65=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E65), 2))",
65,Equatorial Guinea,Africa,Central African CFA franc,XAF,"=IF(E66=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E66), 2))",
66,Eritrea,Africa,Eritrean nakfa,ERN,"=IF(E67=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E67), 2))",
67,Estonia,Europe,Euro,EUR,"=IF(E68=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E68), 2))",
68,Eswatini,Africa,Swazi lilangeni,SZL,"=IF(E69=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E69), 2))",
69,Ethiopia,Africa,Ethiopian birr,ETB,"=IF(E70=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E70), 2))",
70,Falkland Islands,Americas,Falkland Islands pound,FKP,"=IF(E71=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E71), 2))",
71,Faroe Islands,Europe,Danish krone,DKK,"=IF(E72=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E72), 2))",
72,Fiji,Oceania,Fijian dollar,FJD,"=IF(E73=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E73), 2))",
73,Finland,Europe,Euro,EUR,"=IF(E74=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E74), 2))",
74,France,Europe,Euro,EUR,"=IF(E75=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E75), 2))",
75,French Guiana,Americas,Euro,EUR,"=IF(E76=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E76), 2))",
76,French Polynesia,Oceania,CFP franc,XPF,"=IF(E77=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E77), 2))",
77,French Southern and Antarctic Lands,Antarctic,Euro,EUR,"=IF(E78=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E78), 2))",
78,Gabon,Africa,Central African CFA franc,XAF,"=IF(E79=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E79), 2))",
79,Gambia,Africa,dalasi,GMD,"=IF(E80=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E80), 2))",
80,Georgia,Asia,lari,GEL,"=IF(E81=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E81), 2))",
81,Germany,Europe,Euro,EUR,"=IF(E82=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E82), 2))",
82,Ghana,Africa,Ghanaian cedi,GHS,"=IF(E83=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E83), 2))",
83,Gibraltar,Europe,Gibraltar pound,GIP,"=IF(E84=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E84), 2))",
84,Greece,Europe,Euro,EUR,"=IF(E85=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E85), 2))",
85,Greenland,Americas,krone,DKK,"=IF(E86=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E86), 2))",
86,Grenada,Americas,Eastern Caribbean dollar,XCD,"=IF(E87=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E87), 2))",
87,Guadeloupe,Americas,Euro,EUR,"=IF(E88=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E88), 2))",
88,Guam,Oceania,United States dollar,USD,"=IF(E89=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E89), 2))",
89,Guatemala,Americas,Guatemalan quetzal,GTQ,"=IF(E90=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E90), 2))",
90,Guernsey,Europe,British pound,GBP,"=IF(E91=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E91), 2))",
91,Guinea,Africa,Guinean franc,GNF,"=IF(E92=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E92), 2))",
92,Guinea-Bissau,Africa,West African CFA franc,XOF,"=IF(E93=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E93), 2))",
93,Guyana,Americas,Guyanese dollar,GYD,"=IF(E94=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E94), 2))",
94,Haiti,Americas,Haitian gourde,HTG,"=IF(E95=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E95), 2))",
95,Honduras,Americas,Honduran lempira,HNL,"=IF(E96=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E96), 2))",
96,Hong Kong,Asia,Hong Kong dollar,HKD,"=IF(E97=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E97), 2))",
97,Hungary,Europe,Hungarian forint,HUF,"=IF(E98=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E98), 2))",
98,Iceland,Europe,Icelandic króna,ISK,"=IF(E99=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E99), 2))",
99,India,Asia,Indian rupee,INR,"=IF(E100=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E100), 2))",
100,Indonesia,Asia,Indonesian rupiah,IDR,"=IF(E101=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E101), 2))",
101,Iran,Asia,Iranian rial,IRR,"=IF(E102=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E102), 2))",
102,Iraq,Asia,Iraqi dinar,IQD,"=IF(E103=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E103), 2))",
103,Ireland,Europe,Euro,EUR,"=IF(E104=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E104), 2))",
104,Isle of Man,Europe,British pound,GBP,"=IF(E105=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E105), 2))",
105,Israel,Asia,Israeli new shekel,ILS,"=IF(E106=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E106), 2))",
106,Italy,Europe,Euro,EUR,"=IF(E107=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E107), 2))",
107,Ivory Coast,Africa,West African CFA franc,XOF,"=IF(E108=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E108), 2))",
108,Jamaica,Americas,Jamaican dollar,JMD,"=IF(E109=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E109), 2))",
109,Japan,Asia,Japanese yen,JPY,"=IF(E110=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E110), 2))",
110,Jersey,Europe,British pound,GBP,"=IF(E111=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E111), 2))",
111,Jordan,Asia,Jordanian dinar,JOD,"=IF(E112=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E112), 2))",
112,Kazakhstan,Asia,Kazakhstani tenge,KZT,"=IF(E113=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E113), 2))",
113,Kenya,Africa,Kenyan shilling,KES,"=IF(E114=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E114), 2))",
114,Kiribati,Oceania,Australian dollar,AUD,"=IF(E115=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E115), 2))",
115,Kosovo,Europe,Euro,EUR,"=IF(E116=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E116), 2))",
116,Kuwait,Asia,Kuwaiti dinar,KWD,"=IF(E117=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E117), 2))",
117,Kyrgyzstan,Asia,Kyrgyzstani som,KGS,"=IF(E118=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E118), 2))",
118,Laos,Asia,Lao kip,LAK,"=IF(E119=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E119), 2))",
119,Latvia,Europe,Euro,EUR,"=IF(E120=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E120), 2))",
120,Lebanon,Asia,Lebanese pound,LBP,"=IF(E121=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E121), 2))",
121,Lesotho,Africa,Lesotho loti,LSL,"=IF(E122=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E122), 2))",
122,Liberia,Africa,Liberian dollar,LRD,"=IF(E123=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E123), 2))",
123,Libya,Africa,Libyan dinar,LYD,"=IF(E124=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E124), 2))",
124,Liechtenstein,Europe,Swiss franc,CHF,"=IF(E125=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E125), 2))",
125,Lithuania,Europe,Euro,EUR,"=IF(E126=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E126), 2))",
126,Luxembourg,Europe,Euro,EUR,"=IF(E127=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E127), 2))",
127,Macau,Asia,Macanese pataca,MOP,"=IF(E128=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E128), 2))",
128,Madagascar,Africa,Malagasy ariary,MGA,"=IF(E129=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E129), 2))",
129,Malawi,Africa,Malawian kwacha,MWK,"=IF(E130=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E130), 2))",
130,Malaysia,Asia,Malaysian ringgit,MYR,"=IF(E131=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E131), 2))",
131,Maldives,Asia,Maldivian rufiyaa,MVR,"=IF(E132=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E132), 2))",
132,Mali,Africa,West African CFA franc,XOF,"=IF(E133=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E133), 2))",
133,Malta,Europe,Euro,EUR,"=IF(E134=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E134), 2))",
134,Marshall Islands,Oceania,United States dollar,USD,"=IF(E135=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E135), 2))",
135,Martinique,Americas,Euro,EUR,"=IF(E136=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E136), 2))",
136,Mauritania,Africa,Mauritanian ouguiya,MRU,"=IF(E137=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E137), 2))",
137,Mauritius,Africa,Mauritian rupee,MUR,"=IF(E138=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E138), 2))",
138,Mayotte,Africa,Euro,EUR,"=IF(E139=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E139), 2))",
139,Mexico,Americas,Mexican peso,MXN,"=IF(E140=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E140), 2))",
140,Moldova,Europe,Moldovan leu,MDL,"=IF(E141=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E141), 2))",
141,Monaco,Europe,Euro,EUR,"=IF(E142=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E142), 2))",
142,Mongolia,Asia,Mongolian tögrög,MNT,"=IF(E143=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E143), 2))",
143,Montenegro,Europe,Euro,EUR,"=IF(E144=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E144), 2))",
144,Montserrat,Americas,Eastern Caribbean dollar,XCD,"=IF(E145=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E145), 2))",
145,Morocco,Africa,Moroccan dirham,MAD,"=IF(E146=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E146), 2))",
146,Mozambique,Africa,Mozambican metical,MZN,"=IF(E147=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E147), 2))",
147,Myanmar,Asia,Burmese kyat,MMK,"=IF(E148=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E148), 2))",
148,Namibia,Africa,Namibian dollar,NAD,"=IF(E149=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E149), 2))",
149,Nauru,Oceania,Australian dollar,AUD,"=IF(E150=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E150), 2))",
150,Nepal,Asia,Nepalese rupee,NPR,"=IF(E151=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E151), 2))",
151,Netherlands,Europe,Euro,EUR,"=IF(E152=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E152), 2))",
152,New Caledonia,Oceania,CFP franc,XPF,"=IF(E153=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E153), 2))",
153,New Zealand,Oceania,New Zealand dollar,NZD,"=IF(E154=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E154), 2))",
154,Nicaragua,Americas,Nicaraguan córdoba,NIO,"=IF(E155=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E155), 2))",
155,Niger,Africa,West African CFA franc,XOF,"=IF(E156=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E156), 2))",
156,Nigeria,Africa,Nigerian naira,NGN,"=IF(E157=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E157), 2))",
157,Niue,Oceania,New Zealand dollar,NZD,"=IF(E158=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E158), 2))",
158,Norfolk Island,Oceania,Australian dollar,AUD,"=IF(E159=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E159), 2))",
159,North Korea,Asia,North Korean won,KPW,"=IF(E160=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E160), 2))",
160,North Macedonia,Europe,denar,MKD,"=IF(E161=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E161), 2))",
161,Northern Mariana Islands,Oceania,United States dollar,USD,"=IF(E162=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E162), 2))",
162,Norway,Europe,Norwegian krone,NOK,"=IF(E163=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E163), 2))",
163,Oman,Asia,Omani rial,OMR,"=IF(E164=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E164), 2))",
164,Pakistan,Asia,Pakistani rupee,PKR,"=IF(E165=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E165), 2))",
165,Palau,Oceania,United States dollar,USD,"=IF(E166=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E166), 2))",
166,Palestine,Asia,Egyptian pound,EGP,"=IF(E167=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E167), 2))",
167,Panama,Americas,Panamanian balboa,PAB,"=IF(E168=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E168), 2))",
168,Papua New Guinea,Oceania,Papua New Guinean kina,PGK,"=IF(E169=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E169), 2))",
169,Paraguay,Americas,Paraguayan guaraní,PYG,"=IF(E170=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E170), 2))",
170,Peru,Americas,Peruvian sol,PEN,"=IF(E171=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E171), 2))",
171,Philippines,Asia,Philippine peso,PHP,"=IF(E172=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E172), 2))",
172,Pitcairn Islands,Oceania,New Zealand dollar,NZD,"=IF(E173=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E173), 2))",
173,Poland,Europe,Polish złoty,PLN,"=IF(E174=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E174), 2))",
174,Portugal,Europe,Euro,EUR,"=IF(E175=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E175), 2))",
175,Puerto Rico,Americas,United States dollar,USD,"=IF(E176=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E176), 2))",
